buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss
2024-06-17 11:00:00,443.997,22.522674702757,long,10130.586467926585,2024-06-17 15:30:00,449.795,130.58646792658513
2024-06-17 15:45:00,448.39,22.30201387185263,long,10129.471367232993,2024-06-17 16:45:00,448.34,-1.115100693592885
2024-06-17 19:30:00,448.24,22.309477065857575,long,10163.827961914412,2024-06-18 06:45:00,449.78,34.35659468141986
2024-06-18 07:15:00,449.48,22.247930942422354,long,10156.931103322262,2024-06-18 07:30:00,449.17,-6.896858592150981
2024-06-18 13:00:00,447.029,22.36991336132555,long,10135.030958141524,2024-06-18 14:45:00,446.05,-21.90014518073738
2024-06-18 17:15:00,446.045,22.419262630452085,long,10170.789682037095,2024-06-20 04:00:00,447.64,35.75872389557041
2024-06-20 05:30:00,448.38,22.30251126276819,long,10158.523300842573,2024-06-20 07:00:00,447.83,-12.266381194522758
2024-06-20 07:15:00,447.4,22.351363433169425,long,10154.05302815594,2024-06-20 07:45:00,447.2,-4.470272686633631
2024-06-20 12:15:00,443.52,22.546897546897547,long,10175.923518776432,2024-06-20 14:30:00,444.49,21.870490620491235
2024-06-20 17:00:00,445.59,22.442155344599296,long,10167.283288968762,2024-06-20 17:30:00,445.205,-8.640229807670526
