buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss
2024-06-17 11:00:00,443.997,22.522674702757,long,10097.815976234073,2024-06-17 16:45:00,448.34,97.81597623407278
2024-06-17 19:15:00,448.37,22.303008675870373,long,10115.658383174768,2024-06-18 07:30:00,449.17,17.842406940696552
2024-06-18 13:00:00,447.029,22.36991336132555,long,10093.75823799403,2024-06-18 14:45:00,446.05,-21.90014518073738
2024-06-18 17:00:00,445.93,22.42504428946247,long,10122.238044241647,2024-06-20 07:45:00,447.2,28.479806247616928
2024-06-20 12:15:00,443.52,22.546897546897547,long,10147.941507445112,2024-06-21 04:15:00,444.66,25.703463203464178
2024-06-21 07:00:00,445.01,22.471405136963213,long,10243.220265225835,2024-06-21 14:15:00,449.25,95.27875778072423
2024-06-21 15:15:00,448.67,22.288095927964875,long,10273.420635208227,2024-06-21 19:00:00,450.025,30.200369982391543
2024-06-24 05:30:00,450.11,22.21679145097865,long,10265.422590285876,2024-06-24 07:45:00,449.75,-7.9980449223526175
2024-06-24 10:45:00,450.18,22.213336887467236,long,10258.98072258851,2024-06-24 11:00:00,449.89,-6.441867697365953
2024-06-24 11:15:00,449.99,22.222716060356895,long,10230.31341887065,2024-06-24 13:00:00,448.7,-28.66730371786085
2024-06-24 18:45:00,447.52,22.345370039327854,long,10207.297687730144,2024-06-25 05:00:00,446.49,-23.01573114050708
2024-06-25 07:45:00,447.32,22.355360815523564,long,10284.647236151855,2024-06-25 18:45:00,450.78,77.34954842171108
2024-06-26 04:15:00,451.88,22.129768965212005,long,10256.985024945341,2024-06-26 06:15:00,450.63,-27.662211206515007
2024-06-26 10:15:00,450.94,22.17589923271389,long,10281.378514101327,2024-06-26 13:30:00,452.04,24.393489155985783
2024-06-26 17:00:00,451.851,22.131189263717463,long,10277.372768844594,2024-06-26 18:45:00,451.67,-4.005745256732489
2024-06-26 19:00:00,451.695,22.13883261935598,long,10261.764891847948,2024-06-26 19:15:00,450.99,-15.607876996645613
2024-06-27 05:15:00,451.73,22.137117304584596,long,10271.615909048487,2024-06-27 08:30:00,452.175,9.851017200539994
2024-06-27 09:30:00,454.66,21.99445739673602,long,10260.178791202183,2024-06-27 12:15:00,454.14,-11.43711784630358
2024-06-27 17:00:00,452.295,22.109463956046383,long,10264.711231313171,2024-06-27 17:45:00,452.5,4.532440110989157
2024-06-27 18:45:00,453.395,22.055823288743813,long,10278.055004402862,2024-06-28 07:15:00,454.0,13.343773089690409
2024-06-28 10:30:00,454.23,22.015278603350726,long,10247.453767144205,2024-06-28 12:15:00,452.84,-30.60123725865846
2024-06-28 14:00:00,453.92,22.030313711667254,long,10226.084362843887,2024-06-28 14:45:00,452.95,-21.36940430031784
